registered,gender,age,industry,household_size,dependents,relationship
1,M,23,Health Care and Social Assistance,4,1,spouse
0,M,56,Health Care and Social Assistance,1,0,self
0,F,59,Health Care and Social Assistance,2,0,spouse
0,M,46,Health Care and Social Assistance,4,1,spouse
1,M,48,Health Care and Social Assistance,3,1,self
0,M,43,Health Care and Social Assistance,5,1,spouse
0,F,63,Health Care and Social Assistance,2,0,self
1,F,22,Health Care and Social Assistance,4,1,spouse
1,M,23,Health Care and Social Assistance,5,1,spouse
1,M,40,Health Care and Social Assistance,5,1,spouse
0,M,40,Health Care and Social Assistance,2,1,spouse
0,F,27,Health Care and Social Assistance,1,0,self
0,F,72,Health Care and Social Assistance,1,0,self
0,M,64,Health Care and Social Assistance,1,0,self
0,M,29,Health Care and Social Assistance,1,0,self
0,M,22,Manufacturing,4,0,spouse
0,M,25,Information,3,1,spouse
0,M,25,Information,,0,spouse
0,F,51,Health Care and Social Assistance,4,1,self
0,F,29,Health Care and Social Assistance,1,0,self
0,F,31,Manufacturing,3,1,spouse
0,F,33,Health Care and Social Assistance,5,1,spouse
0,F,33,Health Care and Social Assistance,2,1,spouse
0,M,22,Health Care and Social Assistance,1,0,self
0,F,37,Health Care and Social Assistance,3,1,spouse
0,F,35,Transportation and Warehousing,4,1,spouse
0,F,22,Health Care and Social Assistance,3,0,spouse
0,F,22,Health Care and Social Assistance,,0,spouse
0,F,56,Health Care and Social Assistance,2,0,spouse
0,F,25,Health Care and Social Assistance,4,1,spouse
0,F,49,Health Care and Social Assistance,5,1,spouse
0,F,49,Health Care and Social Assistance,3,1,spouse
0,M,19,Health Care and Social Assistance,9,1,spouse
0,F,57,Health Care and Social Assistance,2,0,spouse
0,F,57,Health Care and Social Assistance,,0,spouse
1,M,24,Information,3,0,spouse
1,M,24,Information,,0,spouse
1,M,53,Health Care and Social Assistance,4,1,self
1,M,49,Manufacturing,1,0,self
1,F,38,Health Care and Social Assistance,6,1,spouse
1,F,38,Health Care and Social Assistance,4,1,spouse
0,F,48,Finance and Insurance,1,0,self
0,M,25,Manufacturing,9,1,spouse
0,M,25,Manufacturing,4,1,spouse
0,F,33,Health Care and Social Assistance,5,1,self
0,M,30,Information,3,1,spouse
0,M,30,Information,,0,spouse
1,M,20,Information,5,1,spouse
1,M,20,Information,,0,spouse
1,M,45,Information,2,0,spouse
1,M,45,Information,,0,spouse
1,M,21,Retail Trade,6,1,spouse
0,F,55,Health Care and Social Assistance,4,0,spouse
0,M,29,Retail Trade,2,0,self
0,F,54,Health Care and Social Assistance,5,1,spouse
0,M,20,Information,3,0,spouse
1,F,18,Health Care and Social Assistance,3,1,spouse
1,F,18,Health Care and Social Assistance,1,1,spouse
1,F,27,Health Care and Social Assistance,1,0,self
1,M,21,Retail Trade,1,0,self
0,M,31,Manufacturing,1,0,self
0,F,30,Health Care and Social Assistance,3,1,spouse
0,F,30,Health Care and Social Assistance,1,1,spouse
0,M,25,Health Care and Social Assistance,3,0,spouse
1,F,55,Health Care and Social Assistance,2,0,spouse
1,M,29,Information,2,1,self
1,F,63,Health Care and Social Assistance,1,0,self
1,F,63,Health Care and Social Assistance,,0,self
0,F,34,Health Care and Social Assistance,3,1,spouse
0,M,46,Public Administration,4,1,spouse
0,F,28,Health Care and Social Assistance,3,1,spouse
1,M,38,Health Care and Social Assistance,4,1,spouse
0,M,30,Health Care and Social Assistance,4,1,spouse
0,F,21,Public Administration,2,0,spouse
1,M,24,Public Administration,3,1,spouse
1,F,37,Health Care and Social Assistance,6,1,self
1,M,61,Health Care and Social Assistance,3,1,self
0,F,38,Health Care and Social Assistance,2,0,spouse
0,F,24,Information,1,0,self
0,F,40,Health Care and Social Assistance,4,1,spouse
0,F,62,Finance and Insurance,1,0,self
0,F,46,Health Care and Social Assistance,6,1,spouse
0,M,24,Retail Trade,2,0,spouse
0,M,21,Information,2,0,spouse
0,M,21,Information,,0,spouse
0,M,36,Information,5,1,spouse
0,M,36,Information,,0,spouse
0,F,19,Health Care and Social Assistance,6,1,spouse
0,F,23,Information,5,1,spouse
0,F,23,Information,,0,spouse
0,F,50,Information,3,0,spouse
0,F,50,Information,,0,spouse
0,M,52,Information,4,1,spouse
0,M,52,Information,,0,spouse
0,M,42,Retail Trade,4,1,spouse
0,M,42,Retail Trade,2,1,spouse
0,F,25,Health Care and Social Assistance,6,0,spouse
0,M,21,Health Care and Social Assistance,4,1,spouse
0,M,21,Health Care and Social Assistance,2,1,spouse
0,F,33,Health Care and Social Assistance,3,1,self
0,M,39,Health Care and Social Assistance,3,1,spouse
0,M,39,Health Care and Social Assistance,2,1,spouse
0,M,40,Retail Trade,1,0,self
0,F,43,Information,3,1,spouse
0,F,43,Information,,0,spouse
0,F,43,Health Care and Social Assistance,9,1,spouse
0,F,43,Health Care and Social Assistance,7,1,spouse
0,F,54,Health Care and Social Assistance,1,0,self
0,F,20,Information,4,1,spouse
0,F,20,Information,,0,spouse
1,M,44,Utilities,3,1,self
1,M,23,Retail Trade,1,0,self
1,F,48,Health Care and Social Assistance,6,0,spouse
1,M,47,Utilities,1,0,self
1,M,20,Health Care and Social Assistance,4,1,spouse
1,M,20,Health Care and Social Assistance,1,1,spouse
0,M,29,Health Care and Social Assistance,4,0,spouse
0,F,24,Health Care and Social Assistance,4,0,spouse
0,F,48,Health Care and Social Assistance,4,1,spouse
0,F,48,Health Care and Social Assistance,2,1,spouse
0,F,35,Information,4,1,spouse
0,F,35,Information,,0,spouse
1,M,56,Unknown,3,0,self
1,M,34,Finance and Insurance,2,0,spouse
1,M,48,Unknown,4,1,self
1,F,43,Health Care and Social Assistance,4,1,spouse
1,F,35,Manufacturing,4,1,spouse
0,F,60,Information,4,0,spouse
0,F,60,Information,,0,spouse
0,M,38,Unknown,4,1,self
0,F,51,Health Care and Social Assistance,2,0,spouse
1,M,32,Unknown,3,1,self
1,M,21,Unknown,1,0,self
1,M,45,Unknown,5,1,self
1,F,33,Unknown,3,1,spouse
0,M,54,Health Care and Social Assistance,6,1,self
0,F,18,Information,3,1,spouse
0,F,18,Information,,0,spouse
0,F,53,Health Care and Social Assistance,4,0,spouse
1,M,40,Unknown,4,1,self
1,F,45,Unknown,3,0,self
1,F,43,Health Care and Social Assistance,2,1,self
1,F,43,Health Care and Social Assistance,3,1,spouse
0,M,52,Health Care and Social Assistance,4,1,self
0,M,49,Health Care and Social Assistance,7,1,spouse
0,F,47,Health Care and Social Assistance,2,0,spouse
1,F,58,Health Care and Social Assistance,2,0,spouse
0,F,46,Health Care and Social Assistance,6,1,spouse
0,F,56,Health Care and Social Assistance,6,1,spouse
1,M,21,Retail Trade,3,0,spouse
1,M,30,Manufacturing,2,1,self
1,F,28,Health Care and Social Assistance,1,0,self
0,M,32,Health Care and Social Assistance,1,0,self
0,F,27,Health Care and Social Assistance,1,0,self
0,M,35,Retail Trade,3,1,self
0,M,29,Health Care and Social Assistance,2,0,spouse
0,M,62,Health Care and Social Assistance,2,0,self
0,F,19,Health Care and Social Assistance,4,1,spouse
0,M,31,Health Care and Social Assistance,2,0,self
0,M,45,Health Care and Social Assistance,4,1,spouse
0,F,49,Health Care and Social Assistance,1,0,self
0,F,43,Information,3,1,spouse
0,F,43,Information,,0,spouse
1,M,20,Health Care and Social Assistance,7,1,spouse
1,M,21,Information,3,1,spouse
1,M,21,Information,,0,spouse
1,F,37,Information,5,1,spouse
1,F,37,Information,,0,spouse
1,M,22,Information,4,1,spouse
0,M,22,Information,,0,spouse
0,F,47,Health Care and Social Assistance,3,1,self
0,F,31,Health Care and Social Assistance,4,1,spouse
0,M,22,Information,5,1,spouse
0,M,22,Information,,0,spouse
0,M,23,Manufacturing,9,1,spouse
1,M,23,Manufacturing,4,1,spouse
1,F,29,Health Care and Social Assistance,1,0,self
1,M,45,Manufacturing,9,1,spouse
1,M,45,Manufacturing,4,1,spouse
1,F,36,Health Care and Social Assistance,1,0,self
0,F,56,Retail Trade,1,0,self
0,M,58,Health Care and Social Assistance,2,0,spouse
0,F,64,Information,1,0,self
0,M,59,Retail Trade,2,1,self
1,M,19,Retail Trade,3,1,spouse
1,M,18,Information,5,1,spouse
1,M,18,Information,,0,spouse
1,F,19,Information,4,1,spouse
0,F,19,Information,,0,spouse
0,M,26,Health Care and Social Assistance,1,0,self
0,M,28,Public Administration,1,0,self
0,F,62,Health Care and Social Assistance,2,0,spouse
1,M,42,Health Care and Social Assistance,3,1,self
1,F,64,Information,1,0,self
1,M,33,Health Care and Social Assistance,2,0,spouse
1,M,33,Health Care and Social Assistance,,0,spouse
0,M,28,Health Care and Social Assistance,1,0,self
0,F,43,Information,5,1,spouse
0,F,43,Information,,0,spouse
1,M,34,Health Care and Social Assistance,1,0,self
0,F,43,Health Care and Social Assistance,4,1,spouse
0,F,43,Health Care and Social Assistance,2,1,spouse
1,F,58,Retail Trade,2,0,self
1,M,22,Health Care and Social Assistance,3,0,spouse
1,F,42,Health Care and Social Assistance,4,1,spouse
0,F,30,Finance and Insurance,1,0,self
0,F,28,Health Care and Social Assistance,4,1,spouse
0,F,24,Information,5,0,spouse
0,F,24,Information,1,1,spouse
0,M,60,Unknown,2,0,self
0,M,28,Finance and Insurance,1,0,self
0,M,28,Finance and Insurance,,0,self
0,F,35,Information,4,1,spouse
0,F,35,Information,,0,spouse
0,F,59,Unknown,2,0,spouse
0,F,42,Health Care and Social Assistance,5,1,spouse
0,F,36,Health Care and Social Assistance,4,1,spouse
0,M,38,Health Care and Social Assistance,4,1,spouse
0,F,22,Health Care and Social Assistance,6,1,spouse
0,M,61,Health Care and Social Assistance,1,0,self
0,F,36,Health Care and Social Assistance,4,1,spouse
0,F,51,Health Care and Social Assistance,2,0,self
0,M,59,Health Care and Social Assistance,2,0,self
0,F,24,Health Care and Social Assistance,3,0,spouse
0,M,23,Health Care and Social Assistance,5,1,spouse
0,M,27,Finance and Insurance,1,0,self
0,F,42,Health Care and Social Assistance,5,1,spouse
0,F,42,Health Care and Social Assistance,,0,spouse
0,F,54,Health Care and Social Assistance,4,0,spouse
0,M,50,Health Care and Social Assistance,1,0,self
0,F,54,Health Care and Social Assistance,1,0,self
0,M,23,Information,5,1,spouse
0,M,23,Information,,0,spouse
1,F,46,Health Care and Social Assistance,4,1,spouse
1,F,46,Health Care and Social Assistance,2,1,spouse
1,M,49,Health Care and Social Assistance,5,1,spouse
1,F,26,Finance and Insurance,4,0,spouse
1,F,40,Health Care and Social Assistance,7,1,self
1,F,45,Health Care and Social Assistance,8,1,self
0,M,60,Manufacturing,3,0,spouse
0,M,60,Manufacturing,,0,spouse
0,F,32,Finance and Insurance,4,1,spouse
0,F,32,Finance and Insurance,1,1,spouse
0,M,39,Finance and Insurance,1,0,self
0,F,52,Health Care and Social Assistance,4,1,self
1,F,40,Information,2,0,spouse
1,F,40,Information,,0,spouse
1,F,19,Health Care and Social Assistance,4,1,spouse
1,F,50,Information,3,1,spouse
1,F,50,Information,,0,spouse
0,M,40,Health Care and Social Assistance,4,1,spouse
0,M,40,Health Care and Social Assistance,2,1,spouse
0,F,23,Retail Trade,6,1,spouse
0,M,34,Retail Trade,2,0,spouse
1,M,21,Retail Trade,6,1,spouse
1,M,27,Health Care and Social Assistance,1,0,self
1,F,25,Information,2,1,self
1,F,50,Health Care and Social Assistance,3,0,spouse
0,M,30,Retail Trade,2,0,self
0,F,27,Information,1,0,self
0,F,74,Health Care and Social Assistance,2,0,spouse
0,F,51,Health Care and Social Assistance,2,0,spouse
1,F,51,Health Care and Social Assistance,,0,spouse
1,M,35,Retail Trade,4,1,spouse
1,M,35,Retail Trade,2,1,spouse
1,F,50,Health Care and Social Assistance,3,1,spouse
0,F,38,Finance and Insurance,5,1,self
0,M,22,Health Care and Social Assistance,4,0,spouse
0,F,34,Information,3,1,spouse
1,F,34,Information,,0,spouse
0,M,45,Health Care and Social Assistance,5,1,spouse
0,F,44,Health Care and Social Assistance,3,1,self
1,M,25,Retail Trade,1,0,self
1,F,37,Information,6,1,spouse
1,F,37,Information,,0,spouse
0,M,18,Health Care and Social Assistance,2,1,spouse
0,M,48,Health Care and Social Assistance,5,1,spouse
1,F,27,Health Care and Social Assistance,4,1,spouse
1,F,27,Health Care and Social Assistance,1,1,spouse
1,F,47,Unknown,4,1,self
1,M,26,Manufacturing,1,0,self
1,M,55,Unknown,1,0,self
1,F,26,Health Care and Social Assistance,2,0,spouse
0,F,26,Health Care and Social Assistance,,0,spouse
0,M,18,Information,6,1,spouse
0,M,18,Information,,0,spouse
0,F,47,Unknown,4,1,spouse
0,F,51,Health Care and Social Assistance,1,0,self
0,F,20,Health Care and Social Assistance,1,0,self
1,F,63,Health Care and Social Assistance,1,0,self
1,F,55,Health Care and Social Assistance,3,1,spouse
1,F,55,Health Care and Social Assistance,1,1,spouse
1,M,71,Health Care and Social Assistance,1,0,self
1,F,35,Health Care and Social Assistance,2,0,spouse
0,M,28,Manufacturing,1,0,self
0,F,35,Health Care and Social Assistance,3,1,spouse
0,F,63,Public Administration,1,0,self
0,F,68,Health Care and Social Assistance,1,0,self
1,F,34,Health Care and Social Assistance,4,1,spouse
1,M,50,Health Care and Social Assistance,2,0,spouse
1,M,21,Health Care and Social Assistance,4,0,spouse
1,F,34,Public Administration,5,1,self
0,F,48,Health Care and Social Assistance,1,0,self
0,M,53,Manufacturing,2,0,spouse
0,M,25,Health Care and Social Assistance,1,0,self
0,M,43,Finance and Insurance,4,1,self
1,F,21,Information,7,1,spouse
1,F,21,Information,,0,spouse
1,F,20,Information,6,1,spouse
1,F,20,Information,,0,spouse
0,F,19,Information,4,1,spouse
0,F,19,Information,,0,spouse
0,M,71,Health Care and Social Assistance,1,0,self
1,M,24,Information,4,0,spouse
0,M,24,Information,,0,spouse
0,M,20,Information,5,1,spouse
1,M,20,Information,,0,spouse
1,M,52,Health Care and Social Assistance,2,0,spouse
1,M,24,Retail Trade,4,0,spouse
0,M,23,Health Care and Social Assistance,3,0,spouse
0,M,24,"Professional, Scientific, and Technical Services",4,0,spouse
0,M,44,Health Care and Social Assistance,2,0,spouse
0,F,19,Information,5,1,spouse
0,F,19,Information,,0,spouse
0,F,53,Health Care and Social Assistance,1,0,self
0,F,38,Health Care and Social Assistance,2,0,spouse
0,F,65,Health Care and Social Assistance,1,0,self
1,F,21,Information,1,0,self
1,F,35,Information,4,1,spouse
1,F,35,Information,,0,spouse
1,M,35,Unknown,2,1,self
1,F,22,Health Care and Social Assistance,4,0,spouse
1,F,23,Information,2,0,spouse
0,F,23,Information,,0,spouse
0,F,18,Information,5,1,spouse
0,F,52,Unknown,1,0,self
0,F,60,Health Care and Social Assistance,1,0,self
1,M,41,Unknown,4,1,self
1,M,25,Unknown,2,0,spouse
1,M,25,Unknown,,0,spouse
0,M,31,Unknown,1,0,self
0,F,54,Health Care and Social Assistance,4,1,spouse
1,M,24,Health Care and Social Assistance,3,0,spouse
1,M,33,Unknown,1,0,self
0,M,28,Finance and Insurance,1,0,self
0,F,22,Health Care and Social Assistance,1,0,self
1,M,55,Unknown,2,0,self
1,F,61,Health Care and Social Assistance,2,0,spouse
0,F,57,Health Care and Social Assistance,2,0,spouse
1,M,42,Information,4,1,self
